vaga_simplificada,senioridade,nome_empresa,tamanho,tipo_propriedade,industria,setor,receita,cidade,estado,idade_empresa,nota,fg_glassdor_est,fg_por_hora,descricao_qtd_palavras,estatistica,programacao,etl,saas,ferramentas_bi,ml_ai,salario_medio
Data Scientist,Unknown,Grimmway Enterprises,1001 to 5000 Employees,Company - Private,Wholesale,Business Services,$1 to $2 billion (USD),Bakersfield,CA,28.0,3.8,1,0,92,1,0,0,0,0,0,112000.0
Data Scientist,Mid,"FourthWall Media, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Sterling,VA,28.0,3.9,1,0,120,1,0,0,0,0,0,112000.0
Data Scientist,Unknown,TrueBinding,1 to 50 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Foster City,CA,28.0,3.0,1,0,81,0,0,0,0,0,0,112000.0
Data Scientist,Senior,WGI,501 to 1000 Employees,Company - Private,Architectural & Engineering Services,Business Services,$50 to $100 million (USD),Jacksonville,FL,49.0,4.1,1,0,203,0,0,0,0,0,0,112000.0
Data Scientist,Senior,Eurofins,10000+ Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),Rowley,MA,34.0,3.4,1,0,209,0,0,0,0,0,0,112000.0
Data Engineer,Senior,GEICO,10000+ Employees,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),Chevy Chase,MD,85.0,3.4,1,0,158,0,1,1,0,0,0,112000.0
Data Scientist,Unknown,MarinHealth Medical Center,1001 to 5000 Employees,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),Greenbrae,CA,69.0,3.4,1,0,157,0,0,0,0,1,0,112000.0
Data Scientist,Unknown,Samaritan Health Services,1001 to 5000 Employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Oregon,OR,35.0,3.9,1,0,167,0,0,0,0,0,0,112000.0
Data Analyist,Senior,The Church of Jesus Christ of Latter-day Saints,10000+ Employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown,Salt Lake City,UT,28.0,4.4,1,0,42,0,0,0,0,0,0,112000.0
Data Scientist,Unknown,Octave Bioscience,Unknown,Unknown,Unknown,Unknown,Unknown,Menlo Park,CA,28.0,3.9,1,0,172,0,0,0,0,0,0,112000.0
Data Scientist,Unknown,Riverside Research,501 to 1000 Employees,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),Wright Patterson AFB,OH,54.0,3.7,1,0,404,0,0,0,0,0,0,112000.0
Data Scientist,Unknown,MiTeGen,1 to 50 Employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),Ithaca,NY,28.0,4.0,1,0,107,0,0,0,0,0,0,112000.0
Data Scientist,Senior,TJ|H2b Analytical Services,Unknown,Unknown,Unknown,Unknown,Unknown,Madison,WI,28.0,3.9,1,0,72,0,0,0,0,0,0,112000.0
Data Scientist,Senior,HotSpot Therapeutics,Unknown,Company - Public,Unknown,Unknown,Unknown,Boston,MA,28.0,5.0,1,0,168,0,0,0,0,1,0,112000.0
Data Scientist,Senior,NexImmune,Unknown,Unknown,Unknown,Unknown,Unknown,Gaithersburg,MD,28.0,3.9,1,0,183,0,0,0,0,0,1,112000.0
Data Engineer,Executive,XPO Logistics,10000+ Employees,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),Portland,OR,10.0,3.6,1,0,131,0,0,0,0,0,1,112000.0
Data Scientist,Senior,Thermo Fisher Scientific,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),San Diego,CA,119.0,3.8,1,0,224,0,0,0,0,0,0,112000.0
Data Scientist,Senior,IsoPlexis,1 to 50 Employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),Branford,CT,28.0,3.6,1,0,191,0,0,0,0,0,0,112000.0
Data Analyist,Unknown,Children's Hospital & Medical Center,1001 to 5000 Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,Omaha,NE,73.0,3.7,1,0,120,0,0,0,0,0,0,112000.0
Data Scientist,Unknown,Biocytogen Boston Corp,Unknown,Unknown,Unknown,Unknown,Unknown,Wakefield,MA,28.0,3.9,1,0,112,0,0,0,0,0,0,112000.0
Data Scientist,Unknown,HCL Technologies,10000+ Employees,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),Texas,TX,30.0,3.7,1,0,115,0,1,1,0,0,1,90000.0
Data Scientist,Unknown,Hill's Pet Nutrition,1001 to 5000 Employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),Topeka,KS,114.0,4.2,1,0,90,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,Agendia Inc.,Unknown,Unknown,Unknown,Unknown,Unknown,Irvine,CA,28.0,3.9,1,0,90,0,0,0,0,0,0,90000.0
Data Scientist,Senior,Geneius Biotechnology,Unknown,Unknown,Unknown,Unknown,Unknown,Natick,MA,28.0,3.9,1,0,196,0,0,0,0,0,0,90000.0
Data Analyist,Unknown,"FourthWall Media, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Fairfax,VA,28.0,3.9,1,0,107,0,0,0,0,0,0,90000.0
Data Scientist,Senior,Black Sesame Technologies Inc,Unknown,Unknown,Unknown,Unknown,Unknown,San Jose,CA,28.0,3.9,1,0,102,0,0,0,0,0,0,90000.0
Data Analyist,Unknown,"Amyx, Inc.",501 to 1000 Employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Arlington,VA,22.0,4.1,1,0,121,0,0,0,1,0,0,90000.0
Data Analyist,Unknown,GreatAmerica Financial Services,501 to 1000 Employees,Company - Private,Lending,Finance,$100 to $500 million (USD),Cedar Rapids,IA,29.0,4.4,1,0,150,0,0,0,0,0,0,90000.0
Data Scientist,Mid,Thermo Fisher Scientific,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Saint Louis,MO,119.0,3.8,1,0,89,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,"Codagenix, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Farmingdale,NY,28.0,3.9,1,0,81,0,0,0,0,0,0,90000.0
Data Scientist,Senior,"American Nurses Association, Inc",201 to 500 Employees,Company - Private,Membership Organizations,Business Services,$25 to $50 million (USD),Silver Spring,MD,28.0,2.6,1,0,179,1,0,0,0,0,0,90000.0
Data Scientist,Unknown,Catalent Pharma Solutions,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),Winchester,KY,14.0,3.5,1,0,195,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,Fulgent Genetics,51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Temple City,CA,28.0,3.6,1,0,133,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,Consolidated Nuclear Security,1001 to 5000 Employees,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,Less than $1 million (USD),Amarillo,TX,14.0,3.6,1,0,87,0,0,0,0,0,0,90000.0
Data Analyist,Unknown,Marimn Health,Unknown,Company - Public,Unknown,Unknown,Unknown,Spokane,WA,28.0,3.9,1,0,159,1,0,1,0,1,0,90000.0
Data Scientist,Senior,Accurant,Unknown,Unknown,Unknown,Unknown,Unknown,Cranbury,NJ,28.0,3.9,1,0,115,0,0,0,0,0,0,90000.0
